Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,league,season
1,Julen Agirrezabala,es ESP,GK,Athletic Club,20,2000,4,4,360,4.0,5,1.25,20,15,75.0,1,2,1,1,25.0,0,0,0,0,,la_liga,2021-2022
2,Sergio Asenjo,es ESP,GK,Villarreal,32,1989,6,6,540,6.0,9,1.5,27,19,70.4,2,2,2,0,0.0,1,1,0,0,0.0,la_liga,2021-2022
3,Édgar Badía,es ESP,GK,Elche,29,1992,24,24,2160,24.0,35,1.46,105,78,73.3,8,5,11,5,20.8,9,7,1,1,12.5,la_liga,2021-2022
4,Yassine Bounou,ma MAR,GK,Sevilla,30,1991,31,31,2790,31.0,24,0.77,95,74,76.8,14,13,4,13,41.9,4,2,1,1,33.3,la_liga,2021-2022
5,Claudio Bravo,cl CHI,GK,Real Betis,38,1983,17,17,1456,16.2,19,1.17,57,39,68.4,8,4,5,5,29.4,1,1,0,0,0.0,la_liga,2021-2022
6,Dani Cárdenas,es ESP,GK,Levante,24,1997,24,24,2160,24.0,46,1.92,116,74,63.8,6,6,12,5,20.8,4,4,0,0,0.0,la_liga,2021-2022
7,Kiko Casilla,es ESP,GK,Elche,34,1986,14,14,1260,14.0,17,1.21,60,43,71.7,3,4,7,3,21.4,0,0,0,0,,la_liga,2021-2022
8,Jasper Cillessen,nl NED,GK,Valencia,32,1989,17,17,1457,16.2,29,1.79,72,49,66.7,4,8,5,3,17.6,6,5,1,0,16.7,la_liga,2021-2022
9,Diego Conde,es ESP,GK,Getafe,22,1998,1,0,6,0.1,0,0.0,0,0,,0,0,0,1,,0,0,0,0,,la_liga,2021-2022
10,Thibaut Courtois,be BEL,GK,Real Madrid,29,1992,36,36,3240,36.0,29,0.81,117,91,76.9,26,7,3,16,44.4,3,2,1,0,33.3,la_liga,2021-2022
11,Javier Díaz,es ESP,GK,Sevilla,24,1997,1,1,90,1.0,1,1.0,2,1,50.0,0,1,0,0,0.0,0,0,0,0,,la_liga,2021-2022
12,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,27,1993,31,30,2772,30.8,37,1.2,118,89,74.6,11,8,11,9,30.0,9,7,2,0,22.2,la_liga,2021-2022
13,Matías Dituro,ar ARG,GK,Celta Vigo,34,1987,38,38,3420,38.0,43,1.13,127,92,69.3,12,10,16,14,36.8,8,4,4,0,50.0,la_liga,2021-2022
14,Marko Dmitrović,rs SRB,GK,Sevilla,29,1992,6,6,540,6.0,5,0.83,20,14,75.0,4,2,0,4,66.7,0,0,0,0,,la_liga,2021-2022
15,Jaume Doménech,es ESP,GK,Valencia,30,1990,4,3,343,3.8,4,1.05,12,8,66.7,2,0,1,1,33.3,0,0,0,0,,la_liga,2021-2022
16,Aarón Escandell,es ESP,GK,Granada,25,1995,4,3,284,3.2,6,1.9,14,10,71.4,0,2,1,1,33.3,2,2,0,0,0.0,la_liga,2021-2022
17,Aitor Fernández,es ESP,GK,Levante,30,1991,13,13,1166,13.0,29,2.24,78,51,64.1,1,5,7,2,15.4,2,1,1,0,50.0,la_liga,2021-2022
18,Joan García,es ESP,GK,Espanyol,20,2001,2,1,108,1.2,3,2.5,3,0,0.0,0,0,1,0,0.0,0,0,0,0,,la_liga,2021-2022
19,Dominik Greif,sk SVK,GK,Mallorca,24,1997,1,1,90,1.0,3,3.0,6,3,50.0,0,0,1,0,0.0,0,0,0,0,,la_liga,2021-2022
20,Sergio Herrera,es ESP,GK,Osasuna,28,1993,36,36,3240,36.0,48,1.33,140,99,68.6,12,10,14,12,33.3,7,4,3,0,42.9,la_liga,2021-2022
21,Jeremías Ledesma,ar ARG,GK,Cádiz,28,1993,38,38,3420,38.0,51,1.34,157,118,74.5,8,15,15,13,34.2,13,11,2,0,15.4,la_liga,2021-2022
22,Diego López,es ESP,GK,Espanyol,39,1981,36,36,3177,35.3,49,1.39,160,111,71.3,10,12,14,10,27.8,4,3,0,1,0.0,la_liga,2021-2022
23,Andriy Lunin,ua UKR,GK,Real Madrid,22,1999,2,2,180,2.0,2,1.0,6,6,83.3,0,1,1,0,0.0,2,1,1,0,50.0,la_liga,2021-2022
24,Giorgi Mamardashvili,ge GEO,GK,Valencia,20,2000,18,18,1620,18.0,20,1.11,73,55,75.3,5,7,6,8,44.4,2,2,0,0,0.0,la_liga,2021-2022
25,Luís Maximiano,pt POR,GK,Granada,22,1999,35,35,3136,34.8,55,1.58,173,123,71.1,8,12,15,7,20.0,7,5,2,0,28.6,la_liga,2021-2022
26,Neto,br BRA,GK,Barcelona,32,1989,3,3,270,3.0,4,1.33,14,10,71.4,2,1,0,0,0.0,0,0,0,0,,la_liga,2021-2022
27,Jan Oblak,si SVN,GK,Atlético Madrid,28,1993,38,38,3420,38.0,43,1.13,100,65,64.0,21,8,9,12,31.6,8,7,1,0,12.5,la_liga,2021-2022
28,Oier Olazábal,es ESP,GK,Espanyol,31,1989,2,1,135,1.5,1,0.67,7,7,100.0,0,0,1,1,100.0,1,1,0,0,0.0,la_liga,2021-2022
29,Jesús Owono,gq EQG,GK,Alavés,20,2001,1,1,90,1.0,1,1.0,4,3,75.0,0,1,0,0,0.0,0,0,0,0,,la_liga,2021-2022
30,Fernando Pacheco,es ESP,GK,Alavés,29,1992,34,34,3053,33.9,60,1.77,138,86,60.1,8,5,21,6,17.6,8,5,3,0,37.5,la_liga,2021-2022
31,Juan Pérez,es ESP,GK,Osasuna,25,1996,2,2,180,2.0,3,1.5,5,2,40.0,0,1,1,0,0.0,0,0,0,0,,la_liga,2021-2022
32,Alejandro Primo,es ESP,GK,Levante,17,2004,1,1,90,1.0,1,1.0,2,1,50.0,1,0,0,0,0.0,0,0,0,0,,la_liga,2021-2022
33,Manolo Reina,es ESP,GK,Mallorca,36,1985,21,21,1890,21.0,26,1.24,74,51,67.6,6,9,6,8,38.1,3,2,1,0,33.3,la_liga,2021-2022
34,Álex Remiro,es ESP,GK,Real Sociedad,26,1995,35,35,3150,35.0,32,0.91,106,79,73.6,15,11,9,19,54.3,5,4,1,0,20.0,la_liga,2021-2022
35,Sergio Rico,es ESP,GK,Mallorca,27,1993,14,14,1260,14.0,29,2.07,54,29,51.9,4,0,10,1,7.1,4,3,1,0,25.0,la_liga,2021-2022
36,Leo Román,es ESP,GK,Mallorca,21,2000,2,2,180,2.0,5,2.5,14,10,71.4,0,0,2,0,0.0,1,1,0,0,0.0,la_liga,2021-2022
37,Gerónimo Rulli,ar ARG,GK,Villarreal,29,1992,32,32,2880,32.0,28,0.87,97,73,74.2,14,9,9,14,43.8,4,3,1,0,25.0,la_liga,2021-2022
38,Mathew Ryan,au AUS,GK,Real Sociedad,29,1992,3,3,270,3.0,5,1.67,14,10,71.4,2,0,1,1,33.3,1,1,0,0,0.0,la_liga,2021-2022
39,Rui Silva,pt POR,GK,Real Betis,27,1994,22,21,1964,21.8,21,0.96,74,55,74.3,11,4,6,8,38.1,2,2,0,0,0.0,la_liga,2021-2022
40,Unai Simón,es ESP,GK,Athletic Club,24,1997,34,34,3060,34.0,31,0.91,111,83,74.8,13,11,10,12,35.3,3,3,0,0,0.0,la_liga,2021-2022
41,Antonio Sivera,es ESP,GK,Alavés,24,1996,4,3,277,3.1,4,1.3,15,12,80.0,0,1,2,1,33.3,1,1,0,0,0.0,la_liga,2021-2022
42,David Soria,es ESP,GK,Getafe,28,1993,38,38,3414,37.9,41,1.08,129,91,69.8,8,15,15,14,36.8,4,2,1,1,33.3,la_liga,2021-2022
43,Marc-André ter Stegen,de GER,GK,Barcelona,29,1992,35,35,3150,35.0,34,0.97,106,74,69.8,19,9,7,11,31.4,3,2,1,0,33.3,la_liga,2021-2022
44,Rúben Vezo,pt POR,DF,Levante,27,1994,1,1,4,26.9,0,0.0,0,0,,0,1,0,0,0.0,0,0,0,0,,la_liga,2021-2022
45,Luca Zidane,dz ALG,GK,Rayo Vallecano,23,1998,8,8,645,7.2,13,1.81,37,24,64.9,0,1,7,0,0.0,0,0,0,0,,la_liga,2021-2022
